Name,Age,Sex,Performance Task,Exam Score,Attendance,Final Grade
Maria Santos,16,Female,58/60,29/30,85%,56.55
Juan Dela Cruz,17,Male,27/60,25/30,65%,55.33
Angela Reyes,16,Female,91/60,29/30,90%,58.75
Carlos Garcia,17,Male,58/60,23/30,62%,54.42
Sofia Mendoza,15,Female,94/60,28/30,92%,57.33
Miguel Torres,16,Male,67/60,25/30,75%,55.42
Isabella Cruz,17,Female,78/60,29/30,82%,56.83
Rafael Aquino,16,Male,45/60,20/30,50%,49.33
Patricia Villanueva,15,Female,88/60,28/30,90%,57.42
Diego Ramos,17,Male,63/60,24/30,73%,55.05
Camille Bautista,16,Female,96/60,29/30,95%,58.33
Andres Fernandez,17,Male,52/60,25/30,63%,54.83
Nicole Pascual,15,Female,81/60,27/30,90%,56.85
Marco Rivera,16,Male,74/60,26/30,80%,55.73
Jasmine Lim,17,Female,89/60,29/30,95%,57.75
Gabriel Castillo,16,Male,41/60,19/30,50%,48.42
Hannah Morales,15,Female,93/60,28/30,92%,57.43
Luis Gonzales,17,Male,66/60,24/30,73%,55.05
Trisha Navarro,16,Female,77/60,26/30,80%,56.23
Kevin Santos,15,Male,55/60,25/30,75%,54.42
Alyssa Tan,17,Female,87/60,29/30,93%,57.45
Jerome Dela Pena,16,Male,49/60,20/30,55%,51.83
Bianca Flores,15,Female,92/60,28/30,95%,57.33
Ryan Mercado,17,Male,70/60,24/30,80%,54.67
Sophia Aguilar,16,Female,83/60,27/30,88%,56.55
Nathaniel Dizon,15,Male,38/60,20/30,50%,48.33
Christine Lopez,17,Female,95/60,29/30,98%,58.83
Paolo Hernandez,16,Male,61/60,23/30,70%,53.42
Megan Salazar,15,Female,86/60,27/30,90%,56.45
Daniel Ocampo,17,Male,73/60,26/30,82%,55.83
Janelle Romero,16,Female,79/60,27/30,85%,56.38
Benedict Soriano,15,Male,44/60,19/30,50%,48.33
Kathleen Perez,17,Female,90/60,29/30,93%,57.5
Victor Manalo,16,Male,56/60,21/30,60%,52.42
